offense_id,incident_id,attempt_complete_flag,location_id,agency_id,incident_date,incident_hour,cleared_except_id,cleared_except_date,,incident_id,offender_id,age,sex_code,Offense- Offense ID,Offense-Incident ID,Offense- Offense Type ID,Offense-Location ID
91766864,84012814,C,20,20185,2/7/2016 0:00,18,2,3/11/2016 0:00,,84012814,94718327,11,F,91766864,84012814,56,20
91768243,84013520,C,20,20105,2/24/2016 0:00,11,2,3/8/2016 0:00,,84013520,94718698,8,F,91768243,84013520,56,20
91768630,84013880,A,20,20177,3/2/2016 0:00,11,6,,,84013880,94719344,,,91768630,84013880,56,20
91768878,84014100,C,18,20177,3/6/2016 0:00,3,6,,,84014100,94719587,25,M,91768878,84014100,56,18
91769157,84014136,C,20,20105,2/24/2016 0:00,7,4,3/22/2016 0:00,,84014136,94719635,65,M,91769157,84014136,56,20
91769035,84014236,C,20,20105,1/1/2016 0:00,9,5,3/3/2016 0:00,,84014236,94719744,13,M,91769035,84014236,56,20
91769054,84014697,C,41,20177,3/8/2016 0:00,11,4,3/16/2016 0:00,,84014697,94719763,16,M,91769054,84014697,56,41
91771971,84017914,C,20,20223,3/1/2016 0:00,8,6,,,84017914,94723717,55,M,91771971,84017914,56,20
91773647,84018495,C,41,20105,2/22/2016 0:00,12,4,3/10/2016 0:00,,84018495,94724394,18,M,91773647,84018495,56,41
91773973,84018795,A,13,20233,1/10/2016 0:00,,6,,,84018795,94724733,,,91773973,84018795,56,13
91774738,84019413,C,20,20239,3/14/2016 0:00,10,6,,,84019413,94725798,31,M,91774738,84019413,56,20
91775265,84019598,C,20,20105,3/7/2016 0:00,8,6,,,84019598,94725038,,F,91775265,84019598,56,20
91775561,84019766,C,20,20239,3/10/2016 0:00,8,6,,,84019766,94726330,20,M,91775561,84019766,56,20
